"GEOID","year","rate"
"01","2008","6.9761194029850735"
"01","2009","13.171641791044777"
"01","2010","12.349253731343278"
"01","2011","11.216417910447758"
"01","2012","9.267164179104476"
"01","2013","8.510447761194033"
"01","2014","7.923880597014925"
"01","2015","7.038805970149255"
"02","2008","8.656"
"02","2009","9.5"
"02","2010","10.12962962962963"
"02","2011","10.45925925925926"
"02","2012","10.374074074074073"
"02","2013","10.185185185185185"
"02","2014","10.044444444444446"
"02","2015","9.24074074074074"
"04","2008","7.7153846153846155"
"04","2009","12.153846153846153"
"04","2010","12.46923076923077"
"04","2011","11.77692307692308"
"04","2012","10.692307692307692"
"04","2013","10.146153846153846"
"04","2014","9.338461538461537"
"04","2015","8.7"
"05","2008","6.476712328767121"
"05","2009","8.99041095890411"
"05","2010","9.42191780821918"
"05","2011","9.620547945205479"
"05","2012","8.864383561643834"
"05","2013","8.656164383561645"
"05","2014","7.268493150684933"
"05","2015","6.316438356164383"
"06","2008","8.176785714285714"
"06","2009","11.824999999999996"
"06","2010","13.082142857142854"
"06","2011","12.742857142857142"
"06","2012","11.523214285714285"
"06","2013","9.96964285714286"
"06","2014","8.442857142857143"
"06","2015","7.267857142857144"
"08","2008","5.3209677419354815"
"08","2009","7.522580645161289"
"08","2010","9.511290322580644"
"08","2011","9.140322580645163"
"08","2012","8.661290322580644"
"08","2013","7.724193548387097"
"08","2014","5.837096774193547"
"08","2015","4.630645161290321"
"09","2008","4.642857142857142"
"09","2009","6.442857142857143"
"09","2010","9.028571428571428"
"09","2011","8.957142857142857"
"09","2012","8.2"
"09","2013","7.371428571428572"
"09","2014","5.228571428571429"
"09","2015","3.914285714285715"
"10","2008","3.7"
"10","2009","5.166666666666666"
"10","2010","6.8999999999999995"
"10","2011","6.433333333333334"
"10","2012","5.933333333333333"
"10","2013","5.3"
"10","2014","3.6666666666666665"
"10","2015","3"
"12","2008","6.304918032786886"
"12","2009","9.672131147540986"
"12","2010","10.529508196721313"
"12","2011","9.837704918032783"
"12","2012","8.619672131147542"
"12","2013","7.570491803278688"
"12","2014","6.650819672131147"
"12","2015","5.681967213114755"
"13","2008","6.780254777070063"
"13","2009","10.643312101910832"
"13","2010","11.39554140127389"
"13","2011","11.060509554140129"
"13","2012","9.95095541401274"
"13","2013","9.00891719745223"
"13","2014","7.755414012738857"
"13","2015","6.466878980891718"
"15","2008","7.9"
"15","2009","12.375"
"15","2010","13.925"
"15","2011","13.525"
"15","2012","12.425"
"15","2013","11.174999999999999"
"15","2014","9.225"
"15","2015","7.449999999999999"
"16","2008","6.214999999999999"
"16","2009","10.129999999999997"
"16","2010","10.927499999999997"
"16","2011","10.477500000000001"
"16","2012","9.202499999999999"
"16","2013","8.084999999999997"
"16","2014","6.6825"
"16","2015","5.635000000000001"
"17","2008","6.241999999999999"
"17","2009","9.581000000000005"
"17","2010","9.681000000000003"
"17","2011","8.943999999999996"
"17","2012","8.279000000000002"
"17","2013","8.293"
"17","2014","6.488000000000002"
"17","2015","5.721999999999997"
"19","2008","4.944329896907217"
"19","2009","8.087628865979376"
"19","2010","7.5391752577319595"
"19","2011","6.720618556701032"
"19","2012","6.073195876288659"
"19","2013","5.674226804123712"
"19","2014","4.748453608247422"
"19","2015","4.050515463917527"
"20","2008","4.09126213592233"
"20","2009","5.933980582524272"
"20","2010","6.070873786407767"
"20","2011","5.633980582524271"
"20","2012","5.073786407766991"
"20","2013","4.733980582524274"
"20","2014","4.103883495145633"
"20","2015","3.8844660194174763"
"18","2008","6.2822222222222255"
"18","2009","10.633333333333333"
"18","2010","10.438888888888892"
"18","2011","9.20333333333333"
"18","2012","8.437777777777777"
"18","2013","8.08"
"18","2014","6.264444444444446"
"18","2015","5.243333333333332"
"21","2008","6.266949152542373"
"21","2009","9.860169491525424"
"21","2010","9.944067796610168"
"21","2011","9.170338983050849"
"21","2012","8.220338983050851"
"21","2013","8.23050847457627"
"21","2014","6.639830508474579"
"21","2015","5.822881355932205"
"22","2008","6.372580645161291"
"22","2009","9.808064516129031"
"22","2010","10.177419354838708"
"22","2011","9.559677419354838"
"22","2012","8.562903225806453"
"22","2013","8.343548387096774"
"22","2014","7.22741935483871"
"22","2015","6.711290322580646"
"23","2008","5.6312500000000005"
"23","2009","7.81875"
"23","2010","8.731250000000001"
"23","2011","8.674999999999997"
"23","2012","8.049999999999999"
"23","2013","7.65625"
"23","2014","7.3125"
"23","2015","7.062499999999998"
"24","2008","5.880952380952381"
"24","2009","8.34761904761905"
"24","2010","9.580952380952382"
"24","2011","9.366666666666669"
"24","2012","8.328571428571431"
"24","2013","7.814285714285713"
"24","2014","7.433333333333332"
"24","2015","7.366666666666667"
"25","2008","6.335714285714286"
"25","2009","9.1"
"25","2010","8.771428571428572"
"25","2011","8.685714285714285"
"25","2012","8.285714285714285"
"25","2013","7.385714285714285"
"25","2014","6.357142857142858"
"25","2015","5.035714285714285"
"26","2008","6.783333333333334"
"26","2009","10.693589743589744"
"26","2010","10.705128205128204"
"26","2011","9.416666666666666"
"26","2012","8.593589743589746"
"26","2013","8.403846153846152"
"26","2014","7.083333333333335"
"26","2015","5.757692307692306"
"27","2008","7.729411764705884"
"27","2009","11.525882352941178"
"27","2010","10.952941176470585"
"27","2011","9.54"
"27","2012","8.40470588235294"
"27","2013","8.107058823529409"
"27","2014","6.811764705882355"
"27","2015","5.543529411764705"
"28","2008","6.715000000000002"
"28","2009","9.287500000000001"
"28","2010","9.487500000000002"
"28","2011","8.869999999999997"
"28","2012","7.910000000000001"
"28","2013","7.566250000000001"
"28","2014","6.584999999999998"
"28","2015","5.870000000000002"
"29","2008","6.725663716814157"
"29","2009","9.938938053097344"
"29","2010","10.780530973451334"
"29","2011","9.892035398230085"
"29","2012","8.496460176991151"
"29","2013","8.164601769911512"
"29","2014","7.29646017699115"
"29","2015","6.139823008849558"
"30","2008","6.377777777777776"
"30","2009","9.287037037037038"
"30","2010","10.21111111111111"
"30","2011","9.235185185185182"
"30","2012","7.749999999999999"
"30","2013","7.472222222222221"
"30","2014","6.8092592592592585"
"30","2015","5.609259259259259"
"31","2008","4.24065934065934"
"31","2009","5.447252747252748"
"31","2010","5.564835164835167"
"31","2011","5.391208791208791"
"31","2012","4.73956043956044"
"31","2013","4.498901098901101"
"31","2014","3.916483516483517"
"31","2015","3.6428571428571437"
"36","2008","4.861016949152543"
"36","2009","8.005084745762712"
"36","2010","8.803389830508474"
"36","2011","8.45593220338983"
"36","2012","8.18813559322034"
"36","2013","7.657627118644068"
"36","2014","6.920338983050849"
"36","2015","6.394915254237288"
"37","2008","6.106185567010309"
"37","2009","9.342268041237114"
"37","2010","9.695876288659788"
"37","2011","9.375257731958765"
"37","2012","9.156701030927838"
"37","2013","8.060824742268041"
"37","2014","6.513402061855668"
"37","2015","5.818556701030927"
"32","2008","3.3"
"32","2009","4.211764705882352"
"32","2010","4.199999999999999"
"32","2011","3.9470588235294115"
"32","2012","3.588235294117647"
"32","2013","3.6"
"32","2014","3.111764705882353"
"32","2015","2.9411764705882346"
"33","2008","3.1799999999999997"
"33","2009","4.27"
"33","2010","4.41"
"33","2011","4"
"33","2012","3.73"
"33","2013","3.79"
"33","2014","3.1700000000000004"
"33","2015","2.9400000000000004"
"34","2008","3.1052631578947367"
"34","2009","4.094736842105263"
"34","2010","4.105263157894737"
"34","2011","3.9105263157894736"
"34","2012","3.5842105263157897"
"34","2013","3.4473684210526314"
"34","2014","2.926315789473684"
"34","2015","2.6999999999999997"
"35","2008","5.320689655172415"
"35","2009","7.834482758620691"
"35","2010","9.344827586206897"
"35","2011","8.958620689655172"
"35","2012","7.96551724137931"
"35","2013","7.0827586206896544"
"35","2014","6.055172413793103"
"35","2015","5.417241379310345"
"38","2008","6.705769230769231"
"38","2009","11.226923076923079"
"38","2010","11.648076923076925"
"38","2011","11.282692307692306"
"38","2012","10.38653846153846"
"38","2013","8.999999999999995"
"38","2014","7.080769230769229"
"38","2015","6.482692307692307"
"39","2008","4.84470588235294"
"39","2009","7.081176470588235"
"39","2010","6.975294117647058"
"39","2011","6.491764705882352"
"39","2012","5.801176470588234"
"39","2013","5.5164705882352925"
"39","2014","4.632941176470589"
"39","2015","4.315294117647058"
"42","2008","5.3890625"
"42","2009","9.112499999999999"
"42","2010","9.2640625"
"42","2011","8.334374999999998"
"42","2012","7.728125"
"42","2013","7.351562500000001"
"42","2014","6.278125"
"42","2015","5.632812499999999"
"44","2008","6.78"
"44","2009","10.42"
"44","2010","10.72"
"44","2011","10.079999999999998"
"44","2012","9.62"
"44","2013","8.84"
"44","2014","7.72"
"44","2015","6.44"
"45","2008","5.6465116279069765"
"45","2009","8.886046511627908"
"45","2010","9.006976744186048"
"45","2011","8.13720930232558"
"45","2012","7.9116279069767455"
"45","2013","7.544186046511627"
"45","2014","6.055813953488372"
"45","2015","5.4186046511627906"
"46","2008","7.165079365079364"
"46","2009","11.031746031746033"
"46","2010","11.026984126984129"
"46","2011","10.461904761904764"
"46","2012","9.661904761904767"
"46","2013","8.57142857142857"
"46","2014","6.971428571428573"
"46","2015","6.26984126984127"
"40","2008","6.78"
"40","2009","11.222666666666665"
"40","2010","10.994666666666665"
"40","2011","9.368"
"40","2012","7.750666666666664"
"40","2013","7.782666666666666"
"40","2014","6.001333333333332"
"40","2015","5.213333333333334"
"41","2008","3.622222222222222"
"41","2009","6.202777777777778"
"41","2010","6.966666666666667"
"41","2011","6.105555555555555"
"41","2012","5.455555555555555"
"41","2013","5.611111111111111"
"41","2014","4.772222222222221"
"41","2015","4.727777777777778"
"47","2008","4.8282608695652165"
"47","2009","7.347826086956524"
"47","2010","7.303260869565217"
"47","2011","7.036956521739132"
"47","2012","6.373913043478264"
"47","2013","5.7195652173913025"
"47","2014","5.00978260869565"
"47","2015","4.5630434782608695"
"48","2008","5.639682539682539"
