"year","GEOID","rate"
"2011","18099","9.5"
"2012","18099","8.2"
"2013","18099","7.4"
"2014","18099","5.5"
"2015","18099","4.1"
"2008","18101","4.9"
"2009","18101","7.3"
"2010","18101","7.5"
"2011","18101","7.5"
"2012","18101","7.1"
"2013","18101","6.3"
"2014","18101","5.3"
"2015","18101","4.2"
"2008","18103","7.9"
"2009","18103","14.5"
"2010","18103","12.5"
"2011","18103","10.4"
"2012","18103","9.7"
"2013","18103","8.7"
"2014","18103","6.6"
"2015","18103","5.2"
"2008","18105","4.5"
"2009","18105","6.5"
"2010","18105","7.9"
"2011","18105","7.5"
"2012","18105","7.3"
"2013","18105","6.8"
"2014","18105","5.7"
"2015","18105","4.9"
"2008","18107","4.9"
"2009","18107","10.1"
"2010","18107","10.2"
"2011","18107","8.9"
"2012","18107","8.2"
"2013","18107","7.2"
"2014","18107","5.4"
"2015","18107","4"
"2008","18109","5.8"
"2009","18109","9.2"
"2010","18109","10.4"
"2011","18109","9.4"
"2012","18109","8.4"
"2013","18109","7.6"
"2014","18109","5.8"
"2015","18109","4.6"
"2008","18111","6.3"
"2009","18111","11.2"
"2010","18111","11.3"
"2011","18111","9.9"
"2012","18111","9.6"
"2013","18111","8.9"
"2014","18111","7"
"2015","18111","5.7"
"2008","18113","8.5"
"2009","18113","17.2"
"2010","18113","13.2"
"2011","18113","10.1"
"2012","18113","8.6"
"2013","18113","7.3"
"2014","18113","5.2"
"2015","18113","4.2"
"2008","18115","6.2"
"2009","18115","10.8"
"2010","18115","11.1"
"2011","18115","9.5"
"2012","18115","8.9"
"2013","18115","8.3"
"2014","18115","6.9"
"2015","18115","5.4"
"2008","18117","6.4"
"2009","18117","10.7"
"2010","18117","12.8"
"2011","18117","11.8"
"2012","18117","10.8"
"2013","18117","9.9"
"2014","18117","7.7"
"2015","18117","6"
"2008","18119","6.4"
"2009","18119","9.4"
"2010","18119","11.5"
"2011","18119","11.2"
"2012","18119","10.8"
"2013","18119","10.1"
"2014","18119","8.1"
"2015","18119","6.2"
"2008","18121","6"
"2009","18121","10"
"2010","18121","10.9"
"2011","18121","10.5"
"2012","18121","10.2"
"2013","18121","9.2"
"2014","18121","7"
"2015","18121","5.7"
"2008","18123","5.2"
"2009","18123","10.2"
"2010","18123","10.6"
"2011","18123","9.1"
"2012","18123","8.4"
"2013","18123","7.7"
"2014","18123","5.8"
"2015","18123","4.7"
"2008","18125","5.6"
"2009","18125","9.6"
"2010","18125","9.5"
"2011","18125","7.8"
"2012","18125","7.4"
"2013","18125","6.8"
"2014","18125","5.1"
"2015","18125","4.4"
"2008","18127","4.8"
"2009","18127","9.3"
"2010","18127","9.5"
"2011","18127","8.2"
"2012","18127","7.6"
"2013","18127","7.2"
"2014","18127","6.2"
"2015","18127","5.4"
"2008","19129","4.300000000000001"
"2009","19129","6.3999999999999995"
"2010","19129","6.5"
"2011","19129","5.9"
"2012","19129","5.699999999999999"
"2013","19129","5.35"
"2014","19129","4.55"
"2015","19129","3.95"
"2008","19131","4.85"
"2009","19131","8.15"
"2010","19131","7.6"
"2011","19131","6.4"
"2012","19131","6"
"2013","19131","5.65"
"2014","19131","4.45"
"2015","19131","3.65"
"2008","19133","6.050000000000001"
"2009","19133","9.2"
"2010","19133","9.4"
"2011","19133","8.850000000000001"
"2012","19133","8.15"
"2013","19133","7.15"
"2014","19133","5.75"
"2015","19133","4.699999999999999"
"2008","19135","5.7"
"2009","19135","9.8"
"2010","19135","9.5"
"2011","19135","8.55"
"2012","19135","7.699999999999999"
"2013","19135","7.199999999999999"
"2014","19135","5.75"
"2015","19135","4.65"
"2008","19137","5.9"
"2009","19137","9.850000000000001"
"2010","19137","9.649999999999999"
"2011","19137","7.7"
"2012","19137","7.05"
"2013","19137","6.75"
"2014","19137","5.35"
"2015","19137","4.45"
"2008","19139","6.2"
"2009","19139","10.5"
"2010","19139","11.1"
"2011","19139","9.5"
"2012","19139","8.5"
"2013","19139","7.4"
"2014","19139","5.6"
"2015","19139","4.3"
"2008","19141","6.6"
"2009","19141","11.5"
"2010","19141","11.6"
"2011","19141","10.1"
"2012","19141","9.4"
"2013","19141","8.7"
"2014","19141","6.6"
"2015","19141","5"
"2008","19143","6.5"
"2009","19143","12.9"
"2010","19143","13.2"
"2011","19143","11.9"
"2012","19143","10.3"
"2013","19143","8.9"
"2014","19143","6.8"
"2015","19143","5.4"
"2008","19145","5.9"
"2009","19145","10.4"
"2010","19145","11"
"2011","19145","9.5"
"2012","19145","8.3"
"2013","19145","7.3"
"2014","19145","5.7"
"2015","19145","4.4"
"2008","19147","5.1"
"2009","19147","9.2"
"2010","19147","8.8"
"2011","19147","7.7"
"2012","19147","7.2"
"2013","19147","6.7"
"2014","19147","5.1"
"2015","19147","4.1"
"2008","19149","7.8"
"2009","19149","14.2"
"2010","19149","13.3"
"2011","19149","11.4"
"2012","19149","10.6"
"2013","19149","9.5"
"2014","19149","7.2"
"2015","19149","5.9"
"2008","19151","7.5"
"2009","19151","14.5"
"2010","19151","11.1"
"2011","19151","9"
"2012","19151","7.3"
"2013","19151","6.3"
"2014","19151","4.9"
"2015","19151","3.9"
"2008","19153","6.7"
"2009","19153","9.9"
"2010","19153","10.1"
"2011","19153","9.3"
"2012","19153","9.3"
"2013","19153","9.1"
"2014","19153","7.1"
"2015","19153","6.2"
"2008","19155","5"
"2009","19155","7.9"
"2010","19155","9.3"
"2011","19155","8.2"
"2012","19155","7.7"
"2013","19155","7.5"
"2014","19155","5.9"
"2015","19155","4.9"
"2008","19157","4.7"
"2009","19157","9.1"
"2010","19157","8.9"
"2011","19157","7.5"
"2012","19157","7"
"2013","19157","6.6"
"2014","19157","5"
"2015","19157","4.2"
"2008","19159","7.2"
"2009","19159","13"
"2010","19159","10.3"
"2011","19159","9"
"2012","19159","7.8"
"2013","19159","6.8"
"2014","19159","5.2"
"2015","19159","4"
"2008","19161","6.2"
"2009","19161","10.2"
"2010","19161","10.3"
"2011","19161","8.8"
"2012","19161","8.1"
"2008","20011","4.9"
"2013","19161","7.2"
"2009","20011","7"
"2014","19161","5.6"
"2010","20011","9"
"2015","19161","4.4"
"2008","19163","5.2"
"2011","20011","9"
"2009","19163","8.2"
"2012","20011","7.7"
"2010","19163","8.9"
"2011","19163","8"
"2013","20011","6.5"
"2012","19163","7.7"
"2014","20011","5.3"
"2013","19163","7.1"
"2015","20011","4.9"
"2014","19163","5.4"
"2008","20013","4.4"
"2015","19163","4.2"
"2009","20013","5.6"
"2008","19165","7.2"
"2010","20013","6.6"
"2009","19165","12.1"
"2011","20013","6"
"2010","19165","12.9"
"2012","20013","5.4"
"2013","20013","5"
"2011","19165","11.7"
"2014","20013","4.1"
"2012","19165","11.4"
"2015","20013","4"
"2013","19165","10.7"
"2008","20015","4.4"
"2014","19165","8.6"
"2015","19165","7.1"
"2009","20015","7.3"
"2008","19167","6.4"
"2010","20015","7.8"
"2009","19167","10.1"
"2010","19167","11.2"
"2011","20015","7"
"2012","20015","6.3"
"2011","19167","10.3"
"2013","20015","5.6"
"2012","19167","9.9"
"2014","20015","4.9"
"2013","19167","9.4"
"2014","19167","7.6"
"2015","19167","6.1"
"2015","20015","4.3"
"2008","19169","7.5"
"2009","19169","13.1"
"2008","20017","4.2"
"2010","19169","11.4"
"2009","20017","5.3"
"2011","19169","9.6"
"2010","20017","5.6"
"2012","19169","8.5"
"2011","20017","5.5"
"2013","19169","7.6"
"2014","19169","5.6"
"2012","20017","5.3"
"2015","19169","4.8"
"2008","19171","4.1"
"2013","20017","5.6"
"2009","19171","10.5"
"2014","20017","4.1"
"2010","19171","10.5"
"2015","20017","3.7"
"2011","19171","8.1"
"2012","19171","7.4"
"2008","20019","4.6"
"2013","19171","8.8"
"2014","19171","6.1"
"2009","20019","8.8"
"2015","19171","4.9"
"2008","19173","4.6"
"2010","20019","9"
"2011","20019","8.2"
"2012","20019","6.6"
"2009","19173","7.7"
"2013","20019","6.2"
"2010","19173","8"
"2014","20019","5.4"
"2011","19173","7.1"
"2015","20019","5.8"
"2012","19173","6.8"
"2008","20021","5.2"
"2013","19173","6.3"
"2009","20021","8.4"
"2014","19173","4.9"
"2010","20021","9.1"
"2015","19173","4.1"
"2011","20021","8.1"
"2008","19175","6.6"
"2012","20021","7.8"
"2009","19175","11.9"
"2013","20021","6.4"
"2010","19175","12.2"
"2014","20021","5.1"
"2011","19175","10.6"
"2015","20021","4.5"
"2012","19175","9.4"
"2008","20023","3.2"
"2013","19175","8.7"
"2014","19175","6.6"
"2009","20023","3.5"
"2015","19175","5.1"
"2010","20023","4.1"
"2008","19177","7.1"
"2011","20023","4.3"
"2009","19177","12.3"
"2012","20023","3.6"
"2010","19177","12.8"
"2013","20023","3.4"
"2011","19177","11.1"
"2014","20023","3.1"
"2012","19177","9.9"
"2015","20023","2.8"
"2013","19177","8.7"
"2008","20025","3.2"
"2014","19177","6.5"
"2009","20025","3.7"
"2015","19177","5.3"
"2010","20025","4.4"
"2008","19179","5.6"
"2011","20025","3.8"
"2012","20025","3.5"
"2013","20025","3.1"
"2014","20025","2.6"
"2009","19179","10.7"
"2015","20025","2.5"
"2008","20027","3.4"
"2010","19179","9.8"
"2009","20027","4.5"
"2010","20027","5.5"
"2011","19179","8.2"
"2011","20027","5.7"
"2012","20027","5.2"
"2013","20027","5.1"
"2012","19179","7.2"
"2014","20027","4.5"
"2015","20027","4.3"
"2013","19179","6.3"
"2008","20029","3.7"
"2014","19179","4.8"
"2009","20029","4.4"
"2010","20029","5.6"
"2015","19179","3.9"
"2011","20029","5.5"
"2012","20029","5"
"2008","19181","5.8"
"2013","20029","4.4"
"2009","19181","11.1"
"2014","20029","4.2"
"2015","20029","3.9"
"2010","19181","10.5"
"2008","20031","4.7"
"2011","19181","8.7"
"2009","20031","5.8"
"2012","19181","7.8"
"2010","20031","7.6"
"2011","20031","7.8"
"2012","20031","7"
"2013","19181","6.9"
"2013","20031","5.9"
"2014","19181","5.1"
"2014","20031","5.7"
"2015","19181","4.1"
"2015","20031","5.7"
"2008","20033","3.2"
"2008","19183","6.4"
"2009","20033","3.5"
"2010","20033","4.5"
"2011","20033","4.4"
"2009","19183","12.6"
"2012","20033","3.9"
"2010","19183","11.5"
"2013","20033","3.5"
"2011","19183","9.3"
"2012","19183","7.9"
"2013","19183","7"
"2014","19183","5.2"
"2015","19183","4.1"
"2008","19001","4.1"
"2014","20033","3.1"
"2015","20033","3.5"
"2008","20035","4.5"
"2009","20035","6.9"
"2010","20035","7.8"
"2011","20035","7"
"2012","20035","6.2"
"2009","19001","5.8"
"2013","20035","5.8"
"2010","19001","5.5"
"2014","20035","4.7"
"2011","19001","4.9"
"2012","19001","4.4"
"2015","20035","4.7"
"2013","19001","4.2"
"2008","20037","5.3"
"2009","20037","8.5"
"2010","20037","8.7"
"2011","20037","7.9"
"2014","19001","4"
"2015","19001","3.2"
"2008","19003","4.3"
"2009","19003","6.1"
"2010","19003","4.8"
"2011","19003","4.4"
"2012","20037","6.6"
"2013","20037","5.9"
"2012","19003","4"
"2014","20037","5.4"
"2013","19003","3.7"
"2015","20037","5.1"
"2014","19003","3.3"
"2008","20039","3.1"
"2015","19003","2.7"
"2009","20039","3.7"
"2008","19005","6.5"
"2010","20039","5"
"2009","19005","10.2"
"2011","20039","4.8"
"2010","19005","7.8"
"2012","20039","4.4"
"2011","19005","7.2"
"2013","20039","4"
"2012","19005","6.5"
"2014","20039","3.5"
"2015","20039","3.8"
"2013","19005","6.4"
"2008","20041","4"
"2014","19005","5.6"
"2009","20041","5.2"
"2015","19005","4.8"
"2010","20041","6.6"
"2008","19007","5.5"
"2011","20041","6.6"
"2009","19007","8.7"
"2012","20041","6.1"
"2010","19007","7.3"
"2013","20041","5.9"
"2011","19007","6.9"
"2014","20041","5.1"
"2015","20041","5.3"
"2012","19007","6.5"
"2008","20043","5.6"
"2013","19007","6.4"
"2009","20043","10.4"
"2014","19007","5.7"
"2010","20043","8.8"
"2015","19007","4.8"
"2011","20043","7.8"
"2012","20043","6.3"
"2008","19009","4.5"
"2013","20043","5.4"
"2009","19009","5.8"
"2014","20043","4.5"
"2010","19009","5.6"
"2015","20043","4.4"
"2011","19009","5.7"
"2008","20045","4.2"
"2009","20045","5.7"
"2012","19009","4.8"
"2013","19009","4.9"
"2010","20045","5.9"
"2014","19009","4.3"
"2011","20045","5.7"
"2015","19009","3.9"
"2012","20045","5.1"
"2008","19011","4.2"
"2013","20045","4.8"
"2014","20045","4.1"
"2015","20045","3.7"
"2009","19011","6.3"
"2008","20047","2.8"
"2010","19011","6.2"
"2009","20047","4.2"
"2011","19011","5.8"
"2010","20047","5.3"
"2012","19011","5.3"
"2011","20047","4.5"
"2013","19011","5.1"
"2012","20047","4"
"2014","19011","4.6"
"2013","20047","3.7"
"2015","19011","3.8"
"2014","20047","3.3"
"2008","19013","4.1"
"2015","20047","3.3"
"2008","20049","5.7"
"2009","19013","6.1"
"2009","20049","8.2"
"2010","20049","8.3"
"2011","20049","7.6"
"2010","19013","6.2"
"2012","20049","6.8"
"2011","19013","5.8"
"2012","19013","5.4"
"2013","19013","5.1"
"2013","20049","5.7"
"2014","19013","4.9"
"2014","20049","5.2"
"2015","19013","4.5"
"2015","20049","4.9"
"2008","19015","3.6"
"2008","20051","3"
"2009","19015","5.9"
"2010","19015","5.7"
"2009","20051","3.9"
"2011","19015","5"
"2010","20051","3.9"
"2011","20051","3.5"
"2012","19015","4.3"
"2012","20051","3.4"
"2013","19015","4.1"
"2013","20051","3.2"
"2014","20051","2.8"
"2015","20051","3"
"2008","20053","3.3"
"2014","19015","3.4"
"2009","20053","4.2"
"2015","19015","2.9"
"2010","20053","4.7"
"2008","19017","3.6"
"2011","20053","4.1"
"2009","19017","5.4"
"2012","20053","3.5"
"2010","19017","4.9"
"2013","20053","3.4"
"2011","19017","4.4"
"2014","20053","3"
"2015","20053","3.7"
"2012","19017","3.8"
"2008","20055","3.5"
"2013","19017","3.8"
"2009","20055","4.4"
"2014","19017","3.6"
"2010","20055","4.6"
"2015","19017","3.4"
"2011","20055","4.3"
"2008","19019","4.1"
"2012","20055","4.5"
"2009","19019","6.6"
"2013","20055","4.3"
"2014","20055","3.5"
"2015","20055","3.6"
"2010","19019","6"
"2008","20057","3"
"2011","19019","5.7"
"2009","20057","3.5"
"2012","19019","4.8"
"2010","20057","4.2"
"2013","19019","4.8"
"2011","20057","4.3"
"2014","19019","4.6"
"2012","20057","3.9"
"2015","19019","4.2"
"2013","20057","4"
"2008","19021","3.6"
"2014","20057","3.8"
"2009","19021","5.2"
"2010","19021","4.7"
"2015","20057","3.4"
"2011","19021","4.5"
"2008","20059","5.6"
"2012","19021","4.2"
"2009","20059","9.2"
"2013","19021","4"
"2010","20059","9"
"2014","19021","3.9"
"2011","20059","8.4"
"2015","19021","3.6"
"2012","20059","7.3"
"2008","19023","4.7"
"2013","20059","6.2"
"2009","19023","6.6"
"2014","20059","5.1"
"2010","19023","6"
"2015","20059","4.6"
"2011","19023","5"
"2008","20061","4.7"
"2012","19023","4.5"
"2009","20061","7.4"
"2013","19023","4.5"
"2010","20061","9.2"
"2014","19023","4.2"
"2011","20061","9.2"
"2015","19023","4.3"
"2012","20061","8.7"
"2008","19025","3.5"
"2013","20061","8.7"
"2009","19025","5.2"
"2014","20061","7.3"
"2010","19025","6"
"2015","20061","6.2"
"2011","19025","5.7"
"2008","20063","2.8"
"2009","20063","3"
"2012","19025","5.5"
"2010","20063","3.4"
"2013","19025","5.2"
"2011","20063","3.3"
"2014","19025","4.8"
"2012","20063","3"
"2015","19025","4.3"
"2008","19027","2.9"
"2013","20063","3.3"
"2009","19027","4.2"
"2014","20063","2.6"
"2010","19027","4.3"
"2011","19027","4"
"2015","20063","2.6"
"2012","19027","3.8"
"2008","20065","3.4"
"2013","19027","3.4"
"2009","20065","4.4"
"2014","19027","3.1"
"2010","20065","4.8"
"2015","19027","2.6"
"2011","20065","4.2"
"2008","19029","4.6"
"2012","20065","3.4"
"2009","19029","6.8"
"2013","20065","4.2"
"2010","19029","6.3"
"2014","20065","3.3"
"2011","19029","6"
"2015","20065","4"
"2012","19029","5.2"
"2008","20067","2.9"
"2013","19029","5.1"
"2009","20067","3.9"
"2014","19029","4.3"
"2010","20067","4.3"
"2015","19029","3.6"
"2011","20067","4.2"
"2008","19031","3.7"
"2012","20067","3.9"
"2009","19031","5.6"
"2013","20067","3.6"
"2010","19031","5.4"
"2014","20067","3.4"
"2011","19031","5.2"
"2012","19031","4.6"
"2015","20067","3.7"
"2013","19031","4.3"
"2008","20069","2.6"
"2014","19031","3.8"
"2009","20069","3"
"2015","19031","3.4"
"2010","20069","3.2"
"2008","19033","4.8"
"2011","20069","3.3"
"2009","19033","6.9"
"2010","19033","6.8"
"2012","20069","3.1"
"2011","19033","6.1"
"2013","20069","3"
"2012","19033","5.6"
"2014","20069","2.7"
"2013","19033","5.4"
"2015","20069","2.3"
"2014","19033","4.6"
"2008","20071","3.8"
"2015","19033","3.9"
"2008","19035","3.5"
"2009","20071","3.8"
"2009","19035","4.6"
"2010","19035","4.5"
"2010","20071","3.4"
"2011","19035","4.7"
"2011","20071","3.1"
"2012","19035","4.3"
"2012","20071","3.1"
"2013","19035","4.3"
"2014","19035","5"
"2013","20071","2.4"
"2015","19035","5.1"
"2014","20071","2.1"
"2008","19037","4.9"
"2015","20071","2.2"
"2009","19037","8.9"
"2008","20073","5.3"
"2010","19037","7.4"
"2009","20073","6.6"
"2011","19037","6.3"
"2010","20073","7.6"
"2012","19037","5.2"
"2011","20073","6.6"
"2013","19037","5"
"2012","20073","5.6"
"2014","19037","4.7"
"2013","20073","5.4"
"2015","19037","4.4"
"2014","20073","4.5"
"2008","19039","4.7"
"2015","20073","4.7"
"2009","19039","7.6"
"2008","20075","3.4"
"2010","19039","7.7"
"2009","20075","3.9"
"2011","19039","7"
"2010","20075","3.1"
"2012","19039","6"
"2011","20075","2.8"
"2013","19039","5.5"
"2012","20075","2.7"
"2014","19039","4.4"
"2013","20075","2.9"
"2015","19039","4"
"2008","19041","3.5"
"2014","20075","2.3"
"2009","19041","6.8"
"2015","20075","2"
"2010","19041","5.9"
"2008","20077","3.2"
"2011","19041","5.4"
"2009","20077","5.1"
"2012","19041","5.1"
"2010","20077","6.3"
"2013","19041","4.5"
"2011","20077","5.7"
"2014","19041","4.1"
"2012","20077","4.3"
"2015","19041","3.6"
"2013","20077","4"
"2008","19043","5.5"
"2014","20077","3.7"
"2009","19043","8.6"
"2015","20077","3.9"
"2010","19043","7.1"
"2008","20079","3.9"
"2011","19043","6.2"
"2009","20079","7"
"2012","19043","5.7"
"2010","20079","7.2"
"2013","19043","5.7"
"2011","20079","6.1"
"2014","19043","4.9"
"2012","20079","5.4"
"2015","19043","4.1"
"2013","20079","4.9"
"2008","19045","4.3"
"2014","20079","4.3"
"2009","19045","7.3"
"2015","20079","3.9"
"2010","19045","7"
"2008","20081","2.7"
"2011","19045","6.6"
"2009","20081","3.3"
"2012","19045","6.2"
"2010","20081","3.6"
"2013","19045","5.8"
"2011","20081","3.5"
"2014","19045","5.2"
"2012","20081","3.4"
"2015","19045","4.9"
"2013","20081","2.9"
"2008","19047","3.3"
"2014","20081","2.6"
"2009","19047","4.6"
"2015","20081","2.6"
"2008","20083","3.4"
"2010","19047","4.7"
"2009","20083","4"
"2011","19047","4.7"
"2010","20083","3.7"
"2012","19047","4.5"
"2011","20083","3.8"
"2013","19047","4.4"
"2012","20083","3.4"
"2014","19047","4"
"2013","20083","3.9"
"2015","19047","4.1"
"2014","20083","3.4"
"2008","19049","3.3"
"2015","20083","3.3"
"2009","19049","4.9"
"2008","20085","5.8"
"2010","19049","4.6"
"2009","20085","7"
"2011","19049","4.3"
"2010","20085","6.2"
"2012","19049","3.9"
"2011","20085","6"
"2012","20085","5.6"
"2013","19049","3.6"
"2013","20085","5.1"
"2014","19049","3.3"
"2014","20085","4.2"
"2015","19049","2.8"
"2015","20085","3.7"
"2008","19051","5"
"2008","20087","5.3"
"2009","20087","7.6"
"2009","19051","9.1"
"2010","20087","7.5"
"2010","19051","7.1"
"2011","20087","7.1"
"2011","19051","6.1"
"2012","20087","6.1"
"2012","19051","5.8"
"2013","20087","5.8"
"2013","19051","5.5"
"2014","20087","4.9"
"2014","19051","5.1"
"2015","20087","4.2"
"2015","19051","4.4"
"2008","20089","3.2"
"2008","19053","3.8"
"2009","20089","4.2"
"2009","19053","6.7"
"2010","20089","5.5"
"2010","19053","6.1"
"2011","20089","4.7"
"2011","19053","5"
"2012","20089","4.3"
"2012","19053","4.4"
"2013","20089","3.7"
"2013","19053","4.5"
"2014","20089","3.9"
"2014","19053","3.7"
"2015","20089","4.5"
"2015","19053","3.2"
"2008","20091","4.6"
"2008","19055","4"
"2009","20091","6.5"
"2009","19055","6.7"
"2010","20091","6.1"
"2010","19055","6.1"
"2011","20091","5.4"
"2011","19055","5.5"
"2012","20091","4.6"
"2012","19055","4.5"
"2013","20091","4.3"
"2013","19055","4.3"
"2014","20091","3.8"
"2014","19055","3.7"
"2015","20091","3.4"
"2015","19055","3.3"
"2008","20093","3.4"
"2008","19057","5.9"
"2009","20093","4.4"
"2009","19057","8"
"2010","20093","4.5"
"2010","19057","7.4"
"2011","20093","4.4"
"2011","19057","6.7"
"2012","20093","4"
"2012","19057","6.2"
"2013","20093","3.6"
"2013","19057","6"
"2014","20093","3.1"
"2014","19057","4.9"
"2015","20093","3.2"
"2015","19057","4.6"
"2008","20095","3.3"
"2008","19059","4.4"
"2009","20095","5.6"
"2009","19059","7.1"
"2010","20095","6.9"
"2010","19059","6.8"
"2011","20095","6.4"
"2011","19059","6.3"
"2012","20095","6.1"
"2012","19059","5.7"
"2013","20095","5.5"
"2013","19059","5.3"
"2014","20095","4"
"2014","19059","4.6"
"2015","20095","4.4"
"2015","19059","3.8"
"2008","20097","3.4"
"2008","19061","4.4"
"2009","20097","3.5"
"2009","19061","6.6"
"2010","20097","5.2"
"2010","19061","5.8"
"2011","20097","4.2"
"2011","19061","5.1"
"2012","20097","3.8"
"2012","19061","4.5"
"2013","20097","3.4"
"2013","19061","4.6"
"2014","20097","3.3"
"2015","20097","3"
"2014","19061","4.1"
"2008","20099","5.3"
"2009","20099","8.6"
"2015","19061","3.6"
"2010","20099","9.5"
"2008","19063","4"
"2011","20099","9.1"
"2009","19063","8.3"
"2012","20099","8"
"2010","19063","7"
"2013","20099","7.2"
"2011","19063","5.6"
"2012","19063","4.5"
"2014","20099","5.9"
"2013","19063","4.1"
"2015","20099","5.8"
"2014","19063","3.9"
"2008","20101","3.7"
"2015","19063","3.7"
"2009","20101","3.3"
"2008","19065","5.4"
"2010","20101","4.2"
"2009","19065","8.6"
"2011","20101","4.6"
"2010","19065","7.1"
"2012","20101","4.7"
"2011","19065","6.2"
"2013","20101","3.5"
"2012","19065","5.5"
"2014","20101","3.2"
"2013","19065","5.3"
"2015","20101","3.4"
"2014","19065","5"
"2008","20103","5.8"
"2015","19065","4.5"
"2009","20103","8"
"2008","19067","5.9"
"2010","20103","7.6"
"2009","19067","8.8"
"2011","20103","7.3"
"2010","19067","7.2"
"2012","20103","6.4"
"2011","19067","6.5"
"2012","19067","6.3"
"2013","20103","6"
"2013","19067","5.5"
"2014","20103","5"
"2014","19067","4.5"
"2015","20103","4.5"
"2015","19067","3.7"
"2008","20105","3.7"
"2008","19069","4.5"
"2009","20105","5.5"
"2009","19069","7.4"
"2010","20105","6"
"2010","19069","6.2"
"2011","20105","5.2"
"2011","19069","5.1"
"2012","20105","4.8"
"2013","20105","4.6"
"2012","19069","4.5"
"2014","20105","4.2"
"2013","19069","4.5"
"2015","20105","3.5"
"2014","19069","3.9"
"2008","20107","6.7"
"2015","19069","3.3"
"2009","20107","11.2"
"2008","19071","4.5"
"2010","20107","11.2"
"2009","19071","6.9"
"2011","20107","11.2"
"2010","19071","5.9"
"2012","20107","9.9"
"2011","19071","5.8"
"2013","20107","8.7"
"2012","19071","5.1"
"2014","20107","7.5"
"2013","19071","4.2"
"2015","20107","6.4"
"2014","19071","3.8"
"2008","20109","2.8"
"2015","19071","3.3"
"2009","20109","3.3"
"2008","19073","3.9"
"2010","20109","3.5"
"2009","19073","5.9"
"2010","19073","5.9"
"2011","20109","3.3"
"2011","19073","5.6"
"2012","20109","3"
"2012","19073","5"
"2013","20109","2.8"
"2013","19073","4.7"
"2014","20109","2.3"
"2014","19073","4"
"2015","20109","2.5"
"2015","19073","3.4"
"2008","20111","5.9"
"2008","19075","3.6"
"2009","20111","6.1"
"2009","19075","5.8"
"2010","20111","6.7"
"2010","19075","5.7"
"2011","20111","6.4"
"2011","19075","5"
"2012","20111","5.8"
"2012","19075","4.6"
"2013","20111","7.2"
"2013","19075","4.4"
"2014","20111","5.2"
"2014","19075","4.1"
"2015","20111","4.4"
"2015","19075","3.7"
"2008","20113","3.6"
"2008","19077","4.4"
"2009","20113","4.9"
"2009","19077","6.3"
"2010","20113","5.2"
"2010","19077","6.5"
"2011","20113","4.6"
"2011","19077","6.1"
"2012","20113","4.1"
"2012","19077","5.6"
"2013","20113","3.9"
"2013","19077","5.2"
"2014","20113","3.3"
"2014","19077","4.3"
"2015","20113","3"
"2015","19077","3.6"
"2008","20115","3.7"
"2008","19079","3.9"
"2009","19079","7.6"
"2009","20115","5.5"
"2010","19079","7.3"
"2010","20115","5.9"
"2011","19079","8.8"
"2011","20115","5.7"
"2012","19079","6.9"
"2012","20115","5.1"
"2013","19079","5.4"
"2013","20115","4.7"
"2014","19079","4.5"
"2014","20115","4.1"
"2015","19079","4.2"
"2015","20115","3.9"
"2008","19081","6.4"
"2008","20117","3.7"
"2009","19081","10"
"2009","20117","5.6"
"2010","19081","6.6"
"2011","19081","5.6"
"2012","19081","4.6"
"2010","20117","5.1"
"2011","20117","4.7"
"2013","19081","4"
"2012","20117","4.2"
"2014","19081","3.3"
"2013","20117","3.9"
"2015","19081","2.7"
"2014","20117","3.3"
"2008","19083","4.3"
"2015","20117","2.9"
"2009","19083","6.6"
"2010","19083","6.5"
"2008","20119","3"
"2011","19083","5.9"
"2009","20119","3.8"
"2012","19083","5.4"
"2010","20119","4.2"
"2013","19083","5.1"
"2011","20119","3.7"
"2012","20119","3.4"
"2014","19083","4.3"
"2013","20119","3.2"
"2015","19083","3.9"
"2014","20119","2.7"
"2008","19085","4.2"
"2015","20119","3"
"2009","19085","5"
"2008","20121","5.1"
"2010","19085","5.6"
"2009","20121","8.2"
"2010","20121","7.6"
"2011","19085","5.5"
"2011","20121","7.2"
"2012","19085","5.1"
"2012","20121","6.3"
"2013","20121","5.6"
"2014","20121","4.7"
"2013","19085","4.5"
"2015","20121","4.3"
"2014","19085","4"
"2008","20123","3.3"
"2015","19085","3.3"
"2009","20123","4.6"
"2008","19087","5.4"
"2010","20123","4.8"
"2009","19087","9.3"
"2011","20123","3.6"
"2010","19087","8.3"
"2012","20123","3"
"2011","19087","6.8"
"2013","20123","2.9"
"2012","19087","6"
"2014","20123","3.3"
"2013","19087","5.3"
"2015","20123","3.4"
"2008","20125","5.6"
"2009","20125","9.8"
"2010","20125","10.6"
"2014","19087","4.4"
"2011","20125","9.9"
"2015","19087","3.9"
"2012","20125","7.7"
"2013","20125","6.8"
"2008","19089","4.7"
"2014","20125","5.8"
"2009","19089","8.8"
"2010","19089","6.3"
"2011","19089","5.3"
"2015","20125","6.5"
"2012","19089","4.6"
"2008","20127","4.8"
"2013","19089","4.6"
"2009","20127","7"
"2010","20127","6.8"
"2014","19089","4"
"2011","20127","6.7"
"2015","19089","3.5"
"2012","20127","6.1"
"2008","19091","3.7"
"2013","20127","5.5"
"2014","20127","4.5"
"2009","19091","5.9"
"2015","20127","4.4"
"2008","20129","2.8"
"2009","20129","4.2"
"2010","19091","5.2"
