"year","GEOID","rate"
"2012","01059","8.4"
"2013","01059","8.1"
"2014","01059","7.8"
"2015","01059","6.4"
"2008","01061","5.5"
"2009","01061","10.8"
"2010","01061","10.4"
"2011","01061","9.2"
"2012","01061","7.6"
"2013","01061","7"
"2014","01061","6.7"
"2015","01061","5.9"
"2008","01063","8.5"
"2009","01063","15.3"
"2010","01063","17.3"
"2011","01063","17.3"
"2012","01063","13.6"
"2013","01063","12.8"
"2014","01063","12.5"
"2015","01063","11"
"2008","01065","7.4"
"2009","01065","14.3"
"2010","01065","15.1"
"2011","01065","13.8"
"2012","01065","11.5"
"2013","01065","11.7"
"2014","01065","9.9"
"2015","01065","7.8"
"2008","01067","7.7"
"2009","01067","11.2"
"2010","01067","10.9"
"2011","01067","9.7"
"2012","01067","8.3"
"2013","01067","7.7"
"2014","01067","7.5"
"2015","01067","6.8"
"2008","01069","4.9"
"2009","01069","9.3"
"2010","01069","9.1"
"2011","01069","8.6"
"2012","01069","7.6"
"2013","01069","6.9"
"2014","01069","6.8"
"2015","01069","6.2"
"2008","01071","6.2"
"2009","01071","12.8"
"2010","01071","11.8"
"2011","01071","10.3"
"2012","01071","8.6"
"2013","01071","7.9"
"2014","01071","7.3"
"2015","01071","6.6"
"2008","01073","5.4"
"2009","01073","10.8"
"2010","01073","10.3"
"2011","01073","9.3"
"2012","01073","7.4"
"2013","01073","6.7"
"2014","01073","6.3"
"2015","01073","5.8"
"2008","01075","8"
"2009","01075","16"
"2010","01075","13.2"
"2011","01075","9.7"
"2012","01075","7.5"
"2013","01075","7.1"
"2014","01075","7"
"2015","01075","6.3"
"2008","01077","5.7"
"2009","01077","10.7"
"2010","01077","10.1"
"2011","01077","9.1"
"2012","01077","7.7"
"2013","01077","7.1"
"2014","01077","7.2"
"2015","01077","6.9"
"2008","01079","6.5"
"2009","01079","13.6"
"2010","01079","12.6"
"2011","01079","10.9"
"2012","01079","9"
"2013","01079","8.4"
"2014","01079","8.3"
"2015","01079","7.7"
"2008","01081","5.2"
"2009","01081","9.4"
"2010","01081","9"
"2011","01081","8.1"
"2012","01081","6.8"
"2013","01081","5.9"
"2014","01081","5.6"
"2015","01081","5.1"
"2008","01083","4.7"
"2009","01083","9.8"
"2010","01083","9.6"
"2011","01083","8.6"
"2012","01083","6.9"
"2013","01083","6.3"
"2014","01083","6.1"
"2015","01083","5.5"
"2008","01085","10.9"
"2009","01085","19.3"
"2010","01085","18.5"
"2011","01085","17.7"
"2012","01085","15.4"
"2013","01085","14.2"
"2014","01085","12.9"
"2015","01085","11.6"
"2008","01087","7.4"
"2009","01087","12.2"
"2010","01087","14.8"
"2011","01087","14"
"2012","01087","10.7"
"2013","01087","9.7"
"2014","01087","9.1"
"2015","01087","8.1"
"2008","01089","4.2"
"2009","01089","8"
"2010","01089","8.3"
"2011","01089","8.3"
"2012","01089","7"
"2013","01089","6.3"
"2014","01089","6.2"
"2015","01089","5.5"
"2008","01091","7.4"
